stationID,lat,long,averagePressure
50136,5258,12231,9612
50246,5221,12443,9699
50247,5202,12334,999999
50349,5142,12420,9541
50353,5143,12639,9918
50425,5015,12011,9456
50434,5029,12141,9272
50442,5024,12407,9687
50468,5015,12727,9932
50514,4935,11719,9364
50527,4913,11945,9418
50548,4912,12343,9793
50557,4910,12514,9843
50564,4926,12721,9848
50603,4840,11649,9491
50618,4813,11816,9388
50632,4846,12155,9264
50639,4800,12244,9767
50656,4817,12631,9813
50658,4803,12553,9847
50674,4834,12926,9645
50727,4710,11956,8989
50739,4720,12311,9912
50742,4748,12429,9940
50745,4723,12355,9963
50756,4727,12658,9852
50758,4711,12554,9845
50774,4744,12855,9843
50778,4740,13232,10061
50788,4714,13159,10051
50834,4636,12113,9550
50838,4605,12203,9814
50844,4624,12327,9974
50853,4637,12658,9926
50854,4623,12519,9960
50862,4659,12801,9884
50873,4647,13018,10038
50877,4618,12935,10020
50888,4619,13211,10037
50915,4531,11658,9179
50936,4538,12250,9957
50945,4530,12416,9978
50948,4500,12401,9968
50949,4505,12452,9981
50950,4542,12515,9964
50953,4545,12646,9973
50955,4523,12618,9946
50963,4558,12844,10014
50968,4513,12758,9921
50973,4545,13036,9845
50978,4518,13056,9802
50983,4546,13258,10020
51053,4803,8624,9576
51059,4726,8552,9061
51060,4742,8652,9645
51068,4707,8728,999999
51076,4744,8805,9342
51087,4659,8931,9260
51133,4644,8300,9569
51156,4647,8543,8726
51186,4640,9023,8808
51232,4511,8234,9812
51238,4454,8204,9582
51241,4556,8336,8963
51243,4537,8451,9665
51288,4522,9032,8349
51330,4458,8101,8664
51334,4436,8254,9832
51346,4426,8440,9641
51358,4417,8549,9657
51365,4412,8732,9684
51367,4408,8649,999999
51379,4401,8934,9278
51431,4357,8120,9417
51433,4348,8231,8936
51437,4309,8108,8155
51463,4347,8739,9121
51467,4244,8618,8291
51469,4327,8711,7664
51470,4353,8807,8068
51477,4321,8819,8931
51495,4313,9144,9368
51526,4214,8813,9115
51542,4302,8409,7581
51567,4205,8634,8965
51573,4256,8912,10128
51581,4251,9014,9702
51628,4110,8014,8913
51633,4147,8154,8785
51639,4114,8247,9046
51642,4147,8415,9048
51644,4143,8258,8944
51655,4121,8616,9148
51656,4145,8608,9104
51701,4031,7524,6654
51704,3943,7610,8708
51705,3943,7515,7838
51709,3928,7559,8717
51711,4056,7827,8019
51716,3948,7834,8893
51720,4030,7903,8849
51730,4033,8116,9008
51747,3900,8340,8910
51765,4038,8742,9191
51777,3902,8810,9142
51804,3746,7514,7004
51810,3855,7738,8832
51811,3826,7716,8773
51818,3737,7817,8625
51828,3708,7956,8622
51839,3704,8243,8584
51855,3809,8533,8755
51886,3815,9051,7129
51931,3651,8139,8571
52101,4336,9303,8332
52112,4346,9508,999999
52118,4316,9442,8269
52203,4249,9331,9309
52267,4157,10104,9089
52313,4132,9440,999999
52323,4148,9702,8237
52418,4009,9441,8875
52424,4032,9547,8840
52436,4016,9702,8472
52446,4018,9931,8837
52447,4000,9853,8742
52495,4010,10448,8682
52533,3946,9829,8527
52546,3922,9950,8659
52576,3913,10141,8489
52602,3845,9320,7269
52633,3848,9825,6762
52645,3825,9935,999999
52652,3856,10026,8519
52657,3811,10015,7270
52661,3848,10105,8233
52674,3814,10158,8020
52679,3755,10240,8470
52681,3838,10305,8639
52707,3648,9341,7278
52713,3751,9522,6923
52737,3722,9722,7088
52754,3720,10008,999999
52765,3723,10137,999999
52787,3712,10252,7039
52797,3711,10403,8367
52818,3625,9454,7247
52825,3626,9625,7260
52833,3655,9829,999999
52836,3618,9806,6913
52842,3647,9905,6994
52856,3616,10037,7217
52866,3643,10145,7715
52868,3602,10126,7766
52876,3619,10251,8186
52884,3621,10357,8330
52895,3634,10441,8605
52908,3513,9305,5788
52943,3535,9959,6812
52955,3535,10045,999999
52974,3531,10201,7531
52983,3552,10409,8116
52984,3535,10311,8081
52986,3522,10352,8105
52996,3523,10501,7575
53068,4339,11158,9051
53083,4437,11409,8806
53149,4232,11008,8774
53192,4401,11457,8879
53195,4351,11338,8969
53276,4224,11254,8854
53336,4134,10831,8712
53352,4142,11026,8625
53362,4132,11141,8503
53367,4119,11114,8385
53391,4154,11400,8502
53399,4109,11442,8601
53446,4040,10951,8958
53463,4049,11141,8961
53478,4000,11227,8655
53480,4102,11304,8577
53487,4006,11320,8952
53490,4026,11403,9012
53502,3947,10545,8995
53513,4044,10722,8983
53519,3913,10646,8929
53529,3906,10759,8624
53543,3950,10959,8537
53547,3906,10902,8696
53564,3923,11109,9182
53578,3922,11226,8905
53579,3901,11254,9181
53588,3857,11331,7788
53593,3950,11434,9124
53594,3927,11411,9092
53602,3850,10540,8438
53612,3759,10611,8887
53614,3828,10612,8909
53615,3848,10642,8918
53646,3816,10947,8862
53651,3849,11026,9097
53663,3855,11149,8601
53664,3828,11108,9017
53673,3844,11243,9217
53687,3747,11338,9304
53698,3802,11425,10071
53704,3732,10511,8786
53705,3729,10541,8830
53723,3748,10723,8659
53725,3735,10735,8637
53735,3737,10848,8678
53738,3655,10810,8685
53740,3756,10914,8916
53754,3730,11013,9108
53764,3730,11106,9089
53772,3747,11233,9274
53775,3726,11232,9263
53787,3704,11259,8983
53798,3704,11430,10076
53806,3634,10539,8146
53810,3658,10554,8669
53817,3600,10616,8248
53821,3634,10718,8759
53845,3636,10930,9080
53853,3642,11057,8975
53854,3635,11004,9246
53859,3606,11040,9194
53863,3702,11155,9312
53868,3604,11130,9642
53877,3610,11215,9186
53882,3603,11304,9039
53884,3631,11302,9163
53898,3603,11424,10082
53903,3558,10543,8082
53910,3540,10612,7218
53915,3533,10640,8664
53923,3544,10738,8586
53929,3512,10748,8814
53942,3549,10930,8863
53948,3457,10935,9589
53955,3528,11027,9635
53959,3503,11103,9740
53963,3539,11122,9660
53968,3517,11140,9580
53975,3529,11224,9408
53986,3519,11353,10081
54012,4434,11738,9000
54026,4434,12054,9834
54027,4359,11924,9579
54041,4448,12304,9962
54049,4415,12358,9924
54063,4458,12600,9906
54064,4423,12509,9942
54094,4434,12936,9857
54096,4423,13110,9465
54102,4357,11607,9003
54115,4336,11804,9222
54134,4336,12117,9864
54135,4336,12216,9938
54142,4330,12332,10016
54157,4310,12420,9958
54161,4354,12513,9867
54165,4333,12538,9885
54171,4342,12631,9877
54181,4342,12720,9802
54186,4322,12812,9528
54195,4318,12947,9859
54208,4211,11628,8749
54213,4256,11901,9411
54218,4216,11856,9490
54226,4220,12042,9682
54236,4223,12233,10060
54237,4204,12145,9957
54243,4247,12407,9967
54254,4232,12403,10039
54259,4206,12455,9883
54260,4255,12505,9854
54263,4258,12603,9753
54266,4232,12538,9752
54273,4259,12645,9842
54276,4221,12649,9508
54284,4209,12730,9247
54285,4225,12807,9467
54286,4232,12900,9584
54292,4252,12930,9843
54308,4112,11638,9312
54311,4158,11746,9130
54324,4133,12026,9952
54326,4123,11942,9659
54333,4158,12251,10125
54334,4131,12114,10083
54335,4141,12205,10114
54337,4108,12107,10082
54339,4105,12300,10072
54342,4144,12331,10106
54346,4119,12347,9944
54349,4118,12407,9911
54351,4155,12405,10026
54353,4144,12503,9779
54363,4141,12554,9684
54365,4117,12521,9867
54374,4148,12653,9710
54377,4106,12609,9956
54386,4125,12811,9241
54401,4047,11453,9330
54405,4025,11530,9499
54406,4027,11558,9593
54416,4023,11652,10085
54423,4059,11757,9712
54429,4012,11757,10101
54436,4025,11857,9863
54449,3951,11931,10164
54452,4048,11949,9726
54454,4020,12018,10134
54455,4035,12042,10154
54470,4101,12204,10162
54471,4039,12210,10164
54472,4053,12243,10137
54476,4010,12209,10135
54486,4017,12317,10074
54493,4043,12447,9855
54497,4003,12420,10152
54511,3948,11628,10126
54518,3907,11623,10161
54525,3944,11717,10163
54527,3905,11703,10169
54534,3939,11806,10134
54535,3917,11828,10167
54539,3926,11853,10160
54563,3938,12201,10025
54579,3916,12235,10126
54584,3943,12257,10121
54602,3851,11531,10146
54606,3814,11544,10144
54618,3805,11633,10152
54623,3903,11743,10165
54624,3822,11721,10163
54660,3849,12114,10095
54662,3854,12138,10058
54705,3722,11523,10136
54715,3719,11634,10144
54725,3730,11732,10156
54727,3641,11733,10025
54744,3735,11833,10161
54751,3756,12044,10117
54753,3738,12020,10167
54764,3730,12115,10131
54774,3728,12208,10092
54776,3724,12242,10114
54808,3614,11538,10123
54823,3636,11700,9964
54826,3615,11706,8460
54836,3611,11810,9817
54842,3646,11957,10113
54843,3645,11912,10147
54857,3604,12020,10084
54863,3647,12111,10123
54909,3505,11533,10107
54916,3534,11651,10101
54929,3516,11758,10030
54936,3534,11850,10046
54945,3526,11932,10130
55228,3230,8005,6045
55248,3209,8425,5939
55279,3123,9001,999999
55294,3221,9106,999999
55299,3129,9204,999999
55437,3017,8115,999999
55472,3057,8838,999999
55493,3029,9106,999999
55569,2905,8736,999999
55578,2915,8853,6380
55585,2926,9010,999999
55591,2940,9108,6526
55598,2915,9146,6604
55655,2811,8558,999999
55664,2838,8705,999999
55680,2855,8936,999999
55681,2858,9024,999999
55690,2759,9157,999999
55696,2825,9228,999999
55773,2744,8905,999999
56004,3413,9226,5848
56018,3254,9518,6202
56021,3408,9547,6099
56029,3301,9701,6502
56033,3455,9813,6043
56034,3348,9708,5937
56038,3259,9806,999999
56043,3428,10015,6475
56046,3345,9939,6280
56065,3444,10136,999999
56067,3326,10129,6547
56074,3400,10205,6676
56079,3335,10258,6701
56080,3500,10254,7159
56093,3426,10401,7701
56096,3324,10455,8936
56106,3153,9347,6233
56116,3125,9536,6357
56125,3212,9629,6531
56137,3109,9710,6815
56144,3148,9835,999999
56146,3137,10000,999999
56151,3256,10045,999999
56152,3217,10020,999999
56167,3059,10107,7095
56172,3154,10214,7348
56173,3248,10233,6660
56178,3100,10221,7661
56182,3239,10334,7209
56187,3045,10352,9517
56188,3100,10340,9348
56196,3127,10444,9544
56202,3040,9317,999999
56223,3045,9550,999999
56227,2952,9546,999999
56247,3000,9906,7421
56251,3056,10019,999999
56257,3000,10016,6297
56287,2959,10300,9433
56312,2940,9420,7094
56331,2940,9750,999999
56357,2903,10018,999999
56374,3003,10158,7431
56385,2931,10320,999999
56386,2934,10345,9652
56434,2839,9728,7691
56444,2829,9855,6821
56459,2756,10116,7637
56462,2900,10130,999999
56475,2839,10231,8326
56479,2800,10251,7937
56485,2816,10335,8754
56492,2848,10436,9746
56533,2745,9840,8404
56543,2750,9942,6861
56548,2710,9917,7698
56565,2726,10131,999999
56571,2754,10216,8379
56586,2721,10343,8046
56643,2552,9851,999999
56651,2651,10013,7637
56664,2638,10116,999999
56666,2635,10143,8781
56671,2639,10215,8195
56684,2625,10317,7891
56691,2652,10417,7774
56693,2635,10452,8181
56739,2501,9830,8342
56748,2507,9911,8342
56751,2542,10011,8012
56763,2544,10152,8856
56768,2502,10133,8172
56778,2500,10239,8111
56786,2535,10350,8101
56792,2547,10458,8348
56793,2543,10428,8476
56838,2400,9751,9252
56856,2428,10052,8828
56872,2457,10237,7666
56875,2420,10233,8276
56886,2432,10346,8286
56946,2333,9924,8894
56950,2328,9948,8956
56951,2353,10005,8487
56954,2234,9956,8952
56959,2200,10047,9441
56964,2247,10058,8692
56966,2336,10159,9635
56969,2129,10134,9394
56977,2235,10151,8879
56985,2323,10323,8689
56986,2259,10341,8585
56991,2337,10420,8440
57003,3454,10650,9121
57014,3434,10552,8939
57025,3431,10723,9270
57028,3402,10719,8465
57030,3442,10809,9039
57034,3415,10813,9646
57037,3456,10859,9345
57046,3429,11005,7950
57048,3424,10843,9617
57049,3431,10944,9759
57051,3448,11112,9691
57052,3453,11027,9752
57067,3403,11102,9509
57071,3449,11226,9778
57077,3347,11139,9319
57083,3443,11339,10037
57084,3430,11303,8842
57089,3402,11352,10088
57091,3447,11418,10083
57106,3319,10609,9254
57124,3338,10656,8996
57127,3304,10702,9571
57134,3331,10759,8909
57140,3340,10907,9233
57143,3352,10958,9315
57144,3326,10909,9364
57154,3332,11054,999999
57156,3318,11130,9870
57178,3302,11235,10017
57181,3353,11303,10007
57193,3347,11431,10105
57206,3226,10551,9556
57211,3250,10615,999999
57232,3303,10816,9603
57237,3204,10802,9381
57238,3232,10754,9364
57245,3243,10902,9823
57251,3300,11025,9873
57256,3239,11047,9830
57259,3202,11046,9670
57265,3223,11140,10059
57278,3202,11210,10088
57279,3209,11245,10018
57285,3223,11325,9995
57290,3300,11401,10069
57297,3208,11403,10031
57306,3135,10558,9698
57313,3152,10646,9662
57314,3121,10604,9674
57328,3112,10730,9744
57343,3154,10932,9040
57348,3101,10932,9456
57355,3102,11022,9764
57358,3050,11058,9815
57359,3121,11044,9775
57363,3148,11150,9996
57378,3110,11234,10089
57381,3137,11320,10032
57395,3134,11407,10071
57399,3111,11501,10096
57405,3030,10533,9732
57411,3047,10606,9782
57426,3041,10748,9613
57432,3046,10824,9925
57439,3017,10856,8945
57445,3036,10943,9464
57447,3017,10928,9627
57458,3012,11040,9450
57461,3042,11118,10008
57476,3021,11209,10124
57482,3054,11357,10134
57483,3040,11310,10120
57493,3021,11420,10075
57494,3036,11403,10134
57502,2942,10542,9683
57503,2937,10507,9731
57512,2958,10617,9871
57516,2935,10628,9835
57517,2917,10615,9840
57520,2950,10704,9697
57523,2951,10744,9803
57536,2932,10847,9456
57545,2932,10925,9578
57554,2924,11010,9787
57562,2935,11122,10020
57573,2950,11254,10121
57574,2922,11224,10117
57581,2949,11327,10130
57583,2959,11355,10120
57584,2923,11305,10103
57595,2936,11430,10069
57598,2902,11435,9989
57604,2847,10523,9713
57606,2808,10650,9053
57608,2810,10526,9697
57612,2901,10639,9847
57614,2820,10613,8839
57625,2833,10727,9369
57633,2850,10846,9395
57642,2842,10938,9775
57647,2809,10911,9685
57649,2819,10944,9911
57655,2828,11024,9980
57662,2903,11141,10122
57669,2823,11113,10009
57671,2851,11222,10116
57673,2841,11253,10096
57679,2812,11305,10098
57682,2843,11334,10032
57687,2813,11255,10075
57696,2824,11447,10047
57707,2718,10517,8487
57710,2748,10624,9137
57718,2706,10644,8979
57722,2746,10728,9247
57729,2714,10753,9441
57731,2757,10815,9664
57741,2743,10911,9825
57745,2727,10941,9836
57752,2755,11036,9914
57758,2704,11035,9775
57761,2745,11118,9907
57766,2714,11128,9867
57774,2727,11210,10039
57776,2718,11242,8746
57779,2700,11321,10036
57780,2752,11310,10067
57789,2708,11357,9922
57793,2748,11423,10000
57799,2703,11455,10067
57803,2702,10601,8780
57805,2641,10546,8693
57806,2615,10554,8605
57816,2635,10644,8776
57825,2636,10759,9325
57827,2619,10732,9248
57832,2658,10840,9430
57839,2614,10909,9495
57840,2654,10912,9684
57841,2634,10940,9778
57845,2610,10947,9687
57853,2644,11038,9758
57857,2622,11019,9599
57860,2700,11117,9816
57866,2614,11137,9952
57872,2654,11236,10031
57874,2625,11224,10016
57889,2605,11357,9206
57894,2635,11410,9198
57896,2620,11430,10001
57902,2526,10511,8618
57906,2511,10605,9479
57907,2505,10454,8697
57910,2546,10605,8804
57912,2608,10638,9025
57916,2526,10646,9622
57922,2550,10733,8997
57926,2525,10753,9638
57932,2558,10832,9809
57947,2513,10924,9995
57957,2519,11018,9949
57958,2505,11019,999999
57965,2532,11136,9927
57972,2548,11302,9935
57974,2535,11222,9903
57993,2552,11500,9986
57996,2508,11419,9987
58005,3427,11540,10107
58015,3427,11620,10116
58026,3418,11757,10145
58027,3417,11709,10121
58034,3436,11819,10127
58038,3405,11847,10163
58040,3451,11908,10159
58047,3418,11914,10168
58102,3352,11546,10122
58111,3358,11627,10129
58118,3317,11633,10137
58122,3338,11659,10138
58130,3356,11757,10144
58135,3329,11813,10147
58138,3259,11831,10118
58143,3348,11951,10166
58150,3346,12015,10169
58158,3312,12029,10163
58203,3252,11544,10129
58208,3210,11537,10115
58215,3233,11647,10141
58221,3255,11724,10142
58225,3232,11740,10084
58236,3218,11818,10133
58238,3156,11854,10125
58241,3248,11927,10162
58251,3251,12017,10165
58252,3211,11928,10133
58255,3222,12034,10162
58259,3205,12059,10165
58265,3204,12136,10164
58311,3144,11630,10077
58314,3124,11619,10064
58319,3104,11657,10064
58321,3147,11718,10133
58326,3135,11750,10131
58336,3142,11831,10139
58338,3109,11835,10143
58343,3153,11959,10163
58345,3126,11929,10161
58354,3137,12021,10165
58356,3124,12100,10161
58358,3104,12026,10143
58362,3124,12127,10162
58402,3044,11540,10012
58407,3014,11502,10122
58414,3027,11618,10078
58419,3006,11701,10141
58424,3032,11703,10140
58429,3058,11747,10123
58436,3037,11859,10062
58437,3008,11809,8165
58448,3013,11942,10039
58450,3052,12003,10159
58457,3014,12010,10115
58464,3037,12105,10162
58467,3012,12116,10158
58472,3044,12227,10082
58477,3002,12206,10122
58500,2951,11512,10104
58506,2935,11559,8856
58507,2915,11507,10066
58519,2900,11641,10105
58520,2951,11743,9992
58527,2918,11712,10083
58531,2943,11817,9991
58543,2937,11901,9962
58549,2907,11939,10089
58553,3003,12049,10159
58556,2936,12049,10045
58557,2920,12005,10061
58562,2947,12133,10162
58569,2912,12157,10013
58600,2852,11522,10060
58606,2836,11555,10098
58608,2804,11533,10117
58622,2857,11735,10059
58626,2818,11713,10092
58633,2900,11854,10063
58634,2841,11815,10020
58637,2827,11759,10013
58646,2827,11955,10091
58652,2852,12043,10069
58665,2837,12125,10153
58666,2827,12154,10062
58667,2805,12116,10043
58705,2720,11525,10045
58715,2735,11639,10057
58718,2713,11632,10020
58725,2720,11728,9895
58730,2746,11802,9892
58731,2755,11832,9833
58734,2720,11807,9919
58737,2703,11819,9969
58742,2807,11933,9977
58744,2727,11925,9233
58752,2747,12039,10156
58754,2720,12012,10114
58760,2750,12109,10084
58806,2629,11601,9908
58813,2651,11620,9985
58818,2614,11638,9733
58820,2654,11710,9751
58834,2638,11810,9971
58837,2610,11809,9987
58843,2653,12001,10141
58846,2640,11931,10116
58847,2605,11917,10051
58911,2551,11622,9788
58918,2503,11625,9912
58921,2558,11721,9907
58926,2518,11725,9904
58927,2503,11701,9752
58931,2543,11806,8358
58933,2655,11859,9171
58936,2522,11842,10056
58944,2531,11947,10111
59007,2404,10504,8747
59021,2433,10702,9547
59023,2442,10802,9829
59027,2408,10715,9829
59037,2356,10806,9928
59046,2421,10924,10020
59058,2412,11031,9967
59065,2425,11132,10010
59072,2448,11222,9989
59082,2440,11336,9998
59087,2353,11331,10023
59088,2411,11325,10050
59092,2455,11449,9904
59096,2422,11429,9892
59097,2403,11412,9907
59102,2457,11539,9792
59107,2406,11515,10026
59113,2444,11643,9879
59116,2420,11642,10047
59117,2416,11606,10035
59126,2430,11739,10109
59133,2454,11855,10117
59134,2429,11804,9979
59209,2325,10550,9230
59211,2354,10636,9917
59218,2308,10625,9291
59228,2319,10735,9996
59242,2345,10914,10031
59254,2324,11005,10078
59265,2329,11118,9997
59271,2338,11226,10065
59278,2302,11227,10081
59280,2343,11305,10041
59287,2310,11320,10085
59289,2258,11344,10110
59293,2348,11444,10088
59294,2320,11350,10122
59298,2305,11425,10108
59303,2356,11546,9998
59304,2338,11511,9973
59306,2327,11551,10087
59310,2346,11611,10085
59316,2324,11641,10129
59317,2302,11618,10120
59321,2347,11730,10076
59324,2326,11702,10127
59417,2220,10651,9970
59431,2238,10813,9982
59446,2225,10918,10046
59453,2239,11010,10031
59456,2221,11056,10023
59462,2242,11136,10057
59478,2215,11247,10091
59485,2230,11324,10130
59488,2217,11334,10073
59493,2232,11400,10109
59501,2248,11522,10116
59626,2132,10758,10091
59631,2147,10821,10081
59632,2157,10837,10116
59644,2127,10908,10103
59647,2102,10906,10053
59658,2109,11018,10088
59663,2150,11158,10099
59664,2132,11059,10106
59673,2144,11246,10102
59754,2020,11011,10034
59758,2000,11015,10097
59838,1906,10837,10102
59845,1931,10935,9922
59849,1902,10950,9829
59855,1914,11028,10082
59948,1813,10935,10104
59954,1830,11002,10095
59981,1650,11220,10100